title,pmid,abstract
Partial Diversity Generates Effector Immunity Specificity of the Bac41-Like Bacteriocins of Enterococcus faecalis Clinical Strains.,27353651,"Bacteriocin 41 (Bac41) is the plasmid-encoded bacteriocin produced by the opportunistic pathogen Enterococcus faecalis Its genetic determinant consists of bacL1 (effector), bacL2 (regulator), bacA (effector), and bacI (immunity). The secreted effectors BacL1 and BacA coordinate to induce the lytic cell death of E. faecalis Meanwhile, the immunity factor BacI provides self-resistance to the Bac41 producer, E. faecalis, against the action of BacL1 and BacA. In this study, we demonstrated that more than half of the 327 clinical strains of E. faecalis screened had functional Bac41 genes. Analysis of the genetic structure of the Bac41 genes in the DNA sequences of the E. faecalis strains revealed that the Bac41-like genes consist of a relatively conserved region and a variable region located downstream from bacA Based on similarities in the variable region, the Bac41-like genes could be classified into type I, type IIa, and type IIb. Interestingly, the distinct Bac41 types had specific immunity factors for self-resistance, BacI1 or BacI2, and did not show cross-immunity to the other type of effector. We also demonstrated experimentally that the specificity of the immunity was determined by the combination of the C-terminal region of BacA and the presence of the unique BacI1 or BacI2 factor. These observations suggested that Bac41-like bacteriocin genes are extensively disseminated among E. faecalis strains in the clinical environment and can be grouped into at least three types. It was also indicated that the partial diversity results in specificity of self-resistance which may offer these strains a competitive advantage."
The Pseudomonas aeruginosa efflux pump MexGHI-OpmD transports a natural phenazine that controls gene expression and biofilm development.,27274079,"Redox-cycling compounds, including endogenously produced phenazine antibiotics, induce expression of the efflux pump MexGHI-OpmD in the opportunistic pathogen Pseudomonas aeruginosa Previous studies of P. aeruginosa virulence, physiology, and biofilm development have focused on the blue phenazine pyocyanin and the yellow phenazine-1-carboxylic acid (PCA). In P. aeruginosa phenazine biosynthesis, conversion of PCA to pyocyanin is presumed to proceed through the intermediate 5-methylphenazine-1-carboxylate (5-Me-PCA), a reactive compound that has eluded detection in most laboratory samples. Here, we apply electrochemical methods to directly detect 5-Me-PCA and find that it is transported by MexGHI-OpmD in P. aeruginosa strain PA14 planktonic and biofilm cells. We also show that 5-Me-PCA is sufficient to fully induce MexGHI-OpmD expression and that it is required for wild-type colony biofilm morphogenesis. These physiological effects are consistent with the high redox potential of 5-Me-PCA, which distinguishes it from other well-studied P. aeruginosa phenazines. Our observations highlight the importance of this compound, which was previously overlooked due to the challenges associated with its detection, in the context of P. aeruginosa gene expression and multicellular behavior. This study constitutes a unique demonstration of efflux-based self-resistance, controlled by a simple circuit, in a Gram-negative pathogen."
Elucidating the molecular physiology of lantibiotic NAI-107 production in Microbispora ATCC-PTA-5024.,26754974,"The filamentous actinomycete Microbispora ATCC-PTA-5024 produces the lantibiotic NAI-107, which is an antibiotic peptide effective against multidrug-resistant Gram-positive bacteria. In actinomycetes, antibiotic production is often associated with a physiological differentiation program controlled by a complex regulatory and metabolic network that may be elucidated by the integration of genomic, proteomic and bioinformatic tools. Accordingly, an extensive evaluation of the proteomic changes associated with NAI-107 production was performed on Microbispora ATCC-PTA-5024 by combining two-dimensional difference in gel electrophoresis, mass spectrometry and gene ontology approaches."
Identification and Functional Analysis of the Mycophenolic Acid Gene Cluster of Penicillium roqueforti.,26751579,"The filamentous fungus Penicillium roqueforti is widely known as the ripening agent of blue-veined cheeses. Additionally, this fungus is able to produce several secondary metabolites, including the meroterpenoid compound mycophenolic acid (MPA). Cheeses ripened with P. roqueforti are usually contaminated with MPA. On the other hand, MPA is a commercially valuable immunosuppressant. However, to date the molecular basis of the production of MPA by P. roqueforti is still unknown. Using a bioinformatic approach, we have identified a genomic region of approximately 24.4 kbp containing a seven-gene cluster that may be involved in the MPA biosynthesis in P. roqueforti. Gene silencing of each of these seven genes (named mpaA, mpaB, mpaC, mpaDE, mpaF, mpaG and mpaH) resulted in dramatic reductions in MPA production, confirming that all of these genes are involved in the biosynthesis of the compound. Interestingly, the mpaF gene, originally described in P. brevicompactum as a MPA self-resistance gene, also exerts the same function in P. roqueforti, suggesting that this gene has a dual function in MPA metabolism. The knowledge of the biosynthetic pathway of MPA in P. roqueforti will be important for the future control of MPA contamination in cheeses and the improvement of MPA production for commercial purposes."
A genomics-led approach to deciphering the mechanism of thiotetronate antibiotic biosynthesis.,28791099,"Thiolactomycin (TLM) is a thiotetronate antibiotic that selectively targets bacterial fatty acid biosynthesis through inhibition of the β-ketoacyl-acyl carrier protein synthases (KASI/II) that catalyse chain elongation on the type II (dissociated) fatty acid synthase. It has proved effective in in vivo infection models of Mycobacterium tuberculosis and continues to attract interest as a template for drug discovery. We have used a comparative genomics approach to uncover the (hitherto elusive) biosynthetic pathway to TLM and related thiotetronates. Analysis of the whole-genome sequence of Streptomyces olivaceus Tü 3010 producing the more ramified thiotetronate Tü 3010 provided initial evidence that such thiotetronates are assembled by a novel iterative polyketide synthase-nonribosomal peptide synthetase, and revealed the identity of other pathway enzymes, encoded by adjacent genes. Subsequent genome sequencing of three other thiotetronate-producing actinomycetes, including the Lentzea sp. ATCC 31319 that produces TLM, confirmed that near-identical clusters were also present in these genomes. In-frame gene deletion within the cluster for Tü 3010 from Streptomyces thiolactonus NRRL 15439, or within the TLM cluster, led to loss of production of the respective thiotetronate, confirming their identity. Each cluster houses at least one gene encoding a KASI/II enzyme, suggesting plausible mechanisms for self-resistance. A separate genetic locus encodes a cysteine desulfurase and a (thiouridylase-like) sulfur transferase to supply the sulfur atom for thiotetronate ring formation. Transfer of the main Tü 3010 gene cluster (stu gene cluster) into Streptomyces avermitilis led to heterologous production of this thiotetronate, showing that an equivalent sulfur donor can be supplied by this host strain. Mutational analysis of the Tü 3010 and TLM clusters has revealed the unexpected role of a cytochrome P450 enzyme in thiotetronate ring formation. These insights have allowed us to propose a mechanism for sulfur insertion, and have opened the way to engineering of the biosynthesis of TLM and other thiotetronates to produce novel analogues."
"Crystal Structure of the Zorbamycin-Binding Protein ZbmA, the Primary Self-Resistance Element in Streptomyces flavoviridis ATCC21892.",26512730,"The bleomycins (BLMs), tallysomycins (TLMs), phleomycin, and zorbamycin (ZBM) are members of the BLM family of glycopeptide-derived antitumor antibiotics. The BLM-producing Streptomyces verticillus ATCC15003 and the TLM-producing Streptoalloteichus hindustanus E465-94 ATCC31158 both possess at least two self-resistance elements, an N-acetyltransferase and a binding protein. The N-acetyltransferase provides resistance by disrupting the metal-binding domain of the antibiotic that is required for activity, while the binding protein confers resistance by sequestering the metal-bound antibiotic and preventing drug activation via molecular oxygen. We recently established that the ZBM producer, Streptomyces flavoviridis ATCC21892, lacks the N-acetyltransferase resistance gene and that the ZBM-binding protein, ZbmA, is sufficient to confer resistance in the producing strain. To investigate the resistance mechanism attributed to ZbmA, we determined the crystal structures of apo and Cu(II)-ZBM-bound ZbmA at high resolutions of 1.90 and 1.65 Å, respectively. A comparison and contrast with other structurally characterized members of the BLM-binding protein family revealed key differences in the protein-ligand binding environment that fine-tunes the ability of ZbmA to sequester metal-bound ZBM and supports drug sequestration as the primary resistance mechanism in the producing organisms of the BLM family of antitumor antibiotics."
"Characterization of the biosynthetic gene cluster for maklamicin, a spirotetronate-class antibiotic of the endophytic Micromonospora sp. NBRC 110955.",26505309,"Maklamicin, which is produced by the endophytic Micromonospora sp. NBRC 110955, is a spirotetronate-class antibiotic possessing anti-microbial activity against Gram-positive bacteria, and has several unique structural features different from other spirotetronates. Here we describe identification and characterization of the maklamicin biosynthetic (mak) gene cluster through draft genome sequencing, genomic library screening, and gene disruption. Sequence analysis revealed that a plausible maklamicin cluster resides in a 152 kb DNA region encoding 46 open reading frames, 24 of which can be assigned roles in the biosynthesis of polyketide backbone, spirotetronate or peripheral moieties, self-resistance and the regulation of maklamicin production. Disruption of the polyketide synthase (PKS) genes makA1 or makA4 resulted in a complete loss of maklamicin production, indicating that the type I modular PKS system is responsible for the biosynthesis of maklamicin. The mak gene cluster contained a set of biosynthetic genes for the formation of a tetronate moiety, which were found to be highly conserved in the gene clusters for spirotetronate antibiotics. Based on the estimated biosynthetic genes, we propose the biosynthetic pathway for maklamicin. Our findings provide not only insights on the biosynthetic mechanism of the unique structures in maklamicin, but also useful information to facilitate a comparative analysis of the spirotetronate biosynthetic pathways to expand the structural repertoire."
Heterologous expression of MlcE in Saccharomyces cerevisiae provides resistance to natural and semi-synthetic statins.,34150514,"Statins are inhibitors of 3-hydroxy-3-methylglutaryl coenzyme A reductase, the key enzyme in cholesterol biosynthesis. Their extensive use in treatment and prevention of cardiovascular diseases placed statins among the best selling drugs. Construction of Saccharomyces cerevisiae cell factory for the production of high concentrations of natural statins will require establishment of a non-destructive self-resistance mechanism to overcome the undesirable growth inhibition effects of statins. To establish active export of statins from yeast, and thereby detoxification, we integrated a putative efflux pump-encoding gene mlcE from the mevastatin-producing Penicillium citrinum into the S. cerevisiae genome. The resulting strain showed increased resistance to both natural statins (mevastatin and lovastatin) and semi-synthetic statin (simvastatin) when compared to the wild type strain. Expression of RFP-tagged mlcE showed that MlcE is localized to the yeast plasma and vacuolar membranes. We provide a possible engineering strategy for improvement of future yeast based production of natural and semi-synthetic statins."
Ornithine Transcarbamylase ArgK Plays a Dual role for the Self-defense of Phaseolotoxin Producing Pseudomonas syringae pv. phaseolicola.,26256666,"Pseudomonas syringae is a phytopathogenic bacterium widely spread on terrestrial plants. Sulfodiaminophosphinyl tripeptide Phaseolotoxins (PHTs), produced by P. syringae pv. phaseolicola and P. syringae pv. actinidiae, represent a kind of antimetabolic phytotoxins. PHTs inhibit host cell Ornithine transcarbamylase (OTCase) activity and induce Arginine auxotrophic phenotype. The biosynthesis of PHT is temperature dependent, being optically produced at around 18 °C, while blocked above 28 °C. PHT resistant OTCase ArgK acts as a functional replacement of housekeeping OTCase ArgF, which is the acting target of PHT, to confer PHT producers with self-resistance. It was postulated that argK might be regulated directly by a PHT biosynthetic precursor and indirectly by temperature with an unknown manner. Neither transcriptional regulator nor thermal regulation related protein encoding gene was detected from PHT biosynthetic gene cluster. The tripeptide, Cit-Ala-hArg, was identified to be a by-product of PHT biosynthetic pathway in this report. Formation of Cit-Ala-hArg was catalyzed by ArgK with tripeptide Orn-Ala-hArg and carbamyl phosphate as substrates. It showed that ArgK not only provided alternative Arginine source as reported previously, but also controlled the production of PHTs by converting PHT biosynthetic precursors to nontoxic Cit-Ala-hArg reservoir for producers' self-defense."
Alternative Pathway to a Glycopeptide-Resistant Cell Wall in the Balhimycin Producer Amycolatopsis balhimycina.,27622740,"Balhimycin, a vancomycin-type glycopeptide, is a lipid II targeting antibiotic produced by Amycolatopsis balhimycina. A. balhimycina has developed a self-resistance mechanism based on the synergistic action of different enzymes resulting in modified peptidoglycan. The canonical resistance mechanism against glycopeptides is the synthesis of peptidoglycan precursors ending with acyl-d-alanyl-d-lactate (d-Ala-d-Lac) rather than acyl-d-alanyl-d-alanine (d-Ala-d-Ala). This reprogramming is the result of the enzymes VanH, VanA, and VanX. VanH and VanA are required to produce d-Ala-d-Lac; VanX cleaves cytosolic pools of d-Ala-d-Ala, thereby ensuring that peptidoglycan is enriched in d-Ala-d-Lac. In A. balhimycina, the ΔvanHAXAb mutant showed a reduced glycopeptide resistance in comparison to the wild type. Nevertheless, ΔvanHAXAb was paradoxically still able to produce d-Ala-d-Lac containing resistant cell wall precursors suggesting the presence of a novel alternative glycopeptide resistance mechanism. In silico analysis, inactivation studies, and biochemical assays led to the characterization of an enzyme, Ddl1Ab, as a paraloguous chromosomal d-Ala-d-Lac ligase able to complement the function of VanAAb in the ΔvanHAXAb mutant. Furthermore, A. balhimycina harbors a vanYAb gene encoding a d,d-carboxypeptidase. Transcriptional analysis revealed an upregulated expression of vanYAb in the ΔvanHAXAb mutant. VanYAb cleaves the endstanding d-Ala from the pentapeptide precursors, reducing the quantity of sensitive cell wall precursors in the absence of VanXAb. These findings represent an unprecedented coordinated layer of resistance mechanisms in a glycopeptide antibiotic producing bacterium."
Distinct mechanisms contribute to immunity in the lantibiotic NAI-107 producer strain Microbispora ATCC PTA-5024.,25923468,"The investigation of self-resistance in antibiotic producers is important to understand the emergence of antibiotic resistance in pathogens and to improve antibiotic production. Lantibiotics are ribosomally synthesized antibiotics that mostly target peptidoglycan biosynthesis. The actinomycete Microbispora ATCC PTA-5024 produces the lantibiotic NAI-107, which interferes with peptidoglycan biosynthesis by binding bactoprenol-pyrophosphate-coupled peptidoglycan precursors. In order to understand how Microbispora counteracts the action of its own antibiotic, its peptidoglycan composition was analysed in detail. Microbispora peptidoglycan consists of muropeptides with D-Ala and Gly in similar proportion at the fourth position of the peptide stems and alternative 3-3 cross-links besides the classical 4-3 cross-links. In addition, the NAI-107 biosynthetic gene cluster (mlb) was analysed for the expression of immunity proteins. We show that distinct immunity determinants are encoded in the mlb cluster: the ABC transporter MlbYZ acting cooperatively with the transmembrane protein MlbJ and the lipoprotein MlbQ. NMR structural analysis of MlbQ revealed a hydrophobic surface patch, which is proposed to bind the cognate lantibiotic. This study demonstrates that immunity in Microbispora is not only based on one determinant but on the action of the distinct immunity proteins MlbQ, MlbYZ and MlbJ."
Membrane transporters in self resistance of Cercospora nicotianae to the photoactivated toxin cercosporin.,25862648,"The goal of this work is to characterize membrane transporter genes in Cercospora fungi required for autoresistance to the photoactivated, active-oxygen-generating toxin cercosporin they produce for infection of host plants. Previous studies implicated a role for diverse membrane transporters in cercosporin resistance. In this study, transporters identified in a subtractive cDNA library between a Cercospora nicotianae wild type and a cercosporin-sensitive mutant were characterized, including two ABC transporters (CnATR2, CnATR3), an MFS transporter (CnMFS2), a uracil transporter, and a zinc transport protein. Phylogenetic analysis showed that only CnATR3 clustered with transporters previously characterized to be involved in cercosporin resistance. Quantitative RT-PCR analysis of gene expression under conditions of cercosporin toxicity, however, showed that only CnATR2 was upregulated, thus this gene was selected for further characterization. Transformation and expression of CnATR2 in the cercosporin-sensitive fungus Neurospora crassa significantly increased cercosporin resistance. Targeted gene disruption of CnATR2 in the wild type C. nicotianae, however, did not decrease resistance. Expression analysis of other transporters in the cnatr2 mutant under conditions of cercosporin toxicity showed significant upregulation of the cercosporin facilitator protein gene (CFP), encoding an MFS transporter previously characterized as playing an important role in cercosporin autoresistance in Cercospora species. We conclude that cercosporin autoresistance in Cercospora is mediated by multiple genes, and that the fungus compensates for mutations by up-regulation of other resistance genes. CnATR2 may be a useful gene, alone or in addition to other known resistance genes, for engineering Cercospora resistance in crop plants."
"The Biosynthesis of Capuramycin-type Antibiotics: IDENTIFICATION OF THE A-102395 BIOSYNTHETIC GENE CLUSTER, MECHANISM OF SELF-RESISTANCE, AND FORMATION OF URIDINE-5'-CARBOXAMIDE.",25855790,"A-500359s, A-503083s, and A-102395 are capuramycin-type nucleoside antibiotics that were discovered using a screen to identify inhibitors of bacterial translocase I, an essential enzyme in peptidoglycan cell wall biosynthesis. Like the parent capuramycin, A-500359s and A-503083s consist of three structural components: a uridine-5'-carboxamide (CarU), a rare unsaturated hexuronic acid, and an aminocaprolactam, the last of which is substituted by an unusual arylamine-containing polyamide in A-102395. The biosynthetic gene clusters for A-500359s and A-503083s have been reported, and two genes encoding a putative non-heme Fe(II)-dependent α-ketoglutarate:UMP dioxygenase and an l-Thr:uridine-5'-aldehyde transaldolase were uncovered, suggesting that C-C bond formation during assembly of the high carbon (C6) sugar backbone of CarU proceeds from the precursors UMP and l-Thr to form 5'-C-glycyluridine (C7) as a biosynthetic intermediate. Here, isotopic enrichment studies with the producer of A-503083s were used to indeed establish l-Thr as the direct source of the carboxamide of CarU. With this knowledge, the A-102395 gene cluster was subsequently cloned and characterized. A genetic system in the A-102395-producing strain was developed, permitting the inactivation of several genes, including those encoding the dioxygenase (cpr19) and transaldolase (cpr25), which abolished the production of A-102395, thus confirming their role in biosynthesis. Heterologous production of recombinant Cpr19 and CapK, the transaldolase homolog involved in A-503083 biosynthesis, confirmed their expected function. Finally, a phosphotransferase (Cpr17) conferring self-resistance was functionally characterized. The results provide the opportunity to use comparative genomics along with in vivo and in vitro approaches to probe the biosynthetic mechanism of these intriguing structures."
Cystobactamids: myxobacterial topoisomerase inhibitors exhibiting potent antibacterial activity.,25510965,"The development of new antibiotics faces a severe crisis inter alia owing to a lack of innovative chemical scaffolds with activities against Gram-negative and multiresistant pathogens. Herein, we report highly potent novel antibacterial compounds, the myxobacteria-derived cystobactamids 1-3, which were isolated from Cystobacter sp. and show minimum inhibitory concentrations in the low μg mL(-1) range. We describe the isolation and structure elucidation of three congeners as well as the identification and annotation of their biosynthetic gene cluster. By studying the self-resistance mechanism in the natural producer organism, the molecular targets were identified as bacterial type IIa topoisomerases. As quinolones are largely exhausted as a template for new type II topoisomerase inhibitors, the cystobactamids offer exciting alternatives to generate novel antibiotics using medicinal chemistry and biosynthetic engineering."
Penicillin-binding proteins in Actinobacteria.,25351947,"Because some Actinobacteria, especially Streptomyces species, are β-lactam-producing bacteria, they have to have some self-resistant mechanism. The β-lactam biosynthetic gene clusters include genes for β-lactamases and penicillin-binding proteins (PBPs), suggesting that these are involved in self-resistance. However, direct evidence for the involvement of β-lactamases does not exist at the present time. Instead, phylogenetic analysis revealed that PBPs in Streptomyces are distinct in that Streptomyces species have much more PBPs than other Actinobacteria, and that two to three pairs of similar PBPs are present in most Streptomyces species examined. Some of these PBPs bind benzylpenicillin with very low affinity and are highly similar in their amino-acid sequences. Furthermore, other low-affinity PBPs such as SCLAV_4179 in Streptomyces clavuligerus, a β-lactam-producing Actinobacterium, may strengthen further the self-resistance against β-lactams. This review discusses the role of PBPs in resistance to benzylpenicillin in Streptomyces belonging to Actinobacteria."
"Structure-guided functional characterization of enediyne self-sacrifice resistance proteins, CalU16 and CalU19.",25079510,"Calicheamicin γ1I (1) is an enediyne antitumor compound produced by Micromonospora echinospora spp. calichensis, and its biosynthetic gene cluster has been previously reported. Despite extensive analysis and biochemical study, several genes in the biosynthetic gene cluster of 1 remain functionally unassigned. Using a structural genomics approach and biochemical characterization, two proteins encoded by genes from the 1 biosynthetic gene cluster assigned as ""unknowns"", CalU16 and CalU19, were characterized. Structure analysis revealed that they possess the STeroidogenic Acute Regulatory protein related lipid Transfer (START) domain known mainly to bind and transport lipids and previously identified as the structural signature of the enediyne self-resistance protein CalC. Subsequent study revealed calU16 and calU19 to confer resistance to 1, and reminiscent of the prototype CalC, both CalU16 and CalU19 were cleaved by 1 in vitro. Through site-directed mutagenesis and mass spectrometry, we identified the site of cleavage in each protein and characterized their function in conferring resistance against 1. This report emphasizes the importance of structural genomics as a powerful tool for the functional annotation of unknown proteins."
Genetic approaches to generate hyper-producing strains of goadsporin: the relationships between productivity and gene duplication in secondary metabolite biosynthesis.,25036825,"Improving the productivity of secondary metabolites is highly beneficial for the utilization of natural products. Here, we found that gene duplication of the goadsporin biosynthetic gene locus resulted in hyper-production. Goadsporin is a linear azole containing peptide that is biosynthesized via a ribosome-mediated pathway in Streptomyces sp. TP-A0584. Recombinant strains containing duplicated or triplicated goadsporin biosynthetic gene clusters produced 1.46- and 2.25-fold more goadsporin than the wild-type strain. In a surrogate host, Streptomyces lividans, chromosomal integration of one or two copies of the gene cluster led to 342.7 and 593.5 mg/L of goadsporin production. Expression of godI, a self-resistance gene, and of godR, a pathway-specific transcriptional regulator, under a constitutive promoter gave 0.79- and 2.12-fold higher goadsporin production than the wild-type strain. Our experiments indicated that a proportional relationship exists between goadsporin production per culture volume and the copy number of the biosynthetic gene cluster."
Relationship between glycopeptide production and resistance in the actinomycete Nonomuraea sp. ATCC 39727.,24957828,"Glycopeptides and β-lactams inhibit bacterial peptidoglycan synthesis in Gram-positive bacteria; resistance to these antibiotics is studied intensively in enterococci and staphylococci because of their relevance to infectious disease. Much less is known about antibiotic resistance in glycopeptide-producing actinomycetes that are likely to represent the evolutionary source of resistance determinants found in bacterial pathogens. Nonomuraea sp. ATCC 39727, the producer of A40926 (the precursor for the semisynthetic dalbavancin), does not harbor the canonical vanHAX genes. Consequently, we investigated the role of the β-lactam-sensitive D,D-peptidase/D,D-carboxypeptidase encoded by vanYn, the only van-like gene found in the A40926 biosynthetic gene cluster, in conferring immunity to the antibiotic in Nonomuraea sp. ATCC 39727. Taking advantage of the tools developed recently to genetically manipulate this uncommon actinomycete, we varied vanYn gene dosage and expressed vanHatAatXat from the teicoplanin producer Actinoplanes teichomyceticus in Nonomuraea sp. ATCC 39727. Knocking out vanYn, complementing a vanYn mutant, or duplicating vanYn had no effect on growth but influenced antibiotic resistance and, in the cases of complementation and duplication, antibiotic production. Nonomuraea sp. ATCC 39727 was found to be resistant to penicillins, but its glycopeptide resistance was diminished in the presence of penicillin G, which inhibits VanYn activity. The heterologous expression of vanHatAatXat increased A40926 resistance in Nonomuraea sp. ATCC 39727 but did not increase antibiotic production, indicating that the level of antibiotic production is not directly determined by the level of resistance. The vanYn-based self-resistance in Nonomuraea sp. ATCC 39727 resembles the glycopeptide resistance mechanism described recently in mutants of Enterococcus faecium selected in vitro for high-level resistance to glycopeptides and penicillins."
Mechanisms of self-resistance in the platensimycin- and platencin-producing Streptomyces platensis MA7327 and MA7339 strains.,24560608,"Platensimycin (PTM) and platencin (PTN) are potent inhibitors of bacterial fatty acid synthases and have emerged as promising antibacterial drug leads. We previously characterized the PTM and PTN biosynthetic machineries in the Streptomyces platensis producers. We now identify two mechanisms for PTM and PTN resistance in the S. platensis producers-the ptmP3 or ptnP3 gene within the PTM-PTN or PTN biosynthetic cluster and the fabF gene within the fatty acid synthase locus. PtmP3/PtnP3 and FabF confer PTM and PTN resistance by target replacement and target modification, respectively. PtmP3/PtnP3 also represents an unprecedented mechanism for fatty acid biosynthesis in which FabH and FabF are functionally replaced by a single condensing enzyme. These findings challenge the current paradigm for fatty acid biosynthesis and should be considered in future development of effective therapeutics targeting fatty acid synthase."
"Dithiolopyrrolone natural products: isolation, synthesis and biosynthesis.",24141227,"Dithiolopyrrolones are a class of antibiotics that possess the unique pyrrolinonodithiole (4H-[1,2] dithiolo [4,3-b] pyrrol-5-one) skeleton linked to two variable acyl groups. To date, there are approximately 30 naturally occurring dithiolopyrrolone compounds, including holomycin, thiolutin, and aureothricin, and more recently thiomarinols, a unique class of hybrid marine bacterial natural products containing a dithiolopyrrolone framework linked by an amide bridge with an 8-hydroxyoctanoyl chain linked to a monic acid. Generally, dithiolopyrrolone antibiotics have broad-spectrum antibacterial activity against various microorganisms, including Gram-positive and Gram-negative bacteria, and even parasites. Holomycin appeared to be active against rifamycin-resistant bacteria and also inhibit the growth of the clinical pathogen methicillin-resistant Staphylococcus aureus N315. Its mode of action is believed to inhibit RNA synthesis although the exact mechanism has yet to be established in vitro. A recent work demonstrated that the fish pathogen Yersinia ruckeri employs an RNA methyltransferase for self-resistance during the holomycin production. Moreover, some dithiolopyrrolone derivatives have demonstrated promising antitumor activities. The biosynthetic gene clusters of holomycin have recently been identified in S. clavuligerus and characterized biochemically and genetically. The biosynthetic gene cluster of thiomarinol was also identified from the marine bacterium Pseudoalteromonas sp. SANK 73390, which was uniquely encoded by two independent pathways for pseudomonic acid and pyrrothine in a novel plasmid. The aim of this review is to give an overview about the isolations, characterizations, synthesis, biosynthesis, bioactivities and mode of action of this unique family of dithiolopyrrolone natural products, focusing on the period from 1940s until now."
Rhizobacterium-mediated growth promotion and expression of stress enzymes in Glycine max L. Merrill against Fusarium wilt upon challenge inoculation.,23933805,"Wilt disease of soybean caused by a very common soil-borne fungus, Fusarium oxysporum is one of the most destructive diseases of the crop. The aim of the present study was to characterize plant growth-promotion activities and induced resistance of a rhizobacterial strain for the soybean plant against F. oxysporum. Rhizobacterium strain SJ-5 exhibited plant growth-promotion characteristics and antagonistic activity against the test pathogen on dual plate assay. It was identified as a Carnobacterium sp. A 950 bp PCR product was amplified from Carnobacterium sp. strain SJ-5, using zwittermicin A self-resistance gene-specific primers (zmaR). The strain produced indole 3-acetic acid (19 μg/ml) in the presence of salt stress and exhibited growth in Dworkin and Foster salt medium amended with 1-aminocyclopropane-1-carboxylate (ACC) through ACC deaminase activity (277 nmol/mg/h) as compared to the control. Strain seeds treated with the strain significantly enhanced the quorum of healthy plants after challenge inoculation at 14 days after seeding. An increase in the activity of stress enzymes after challenge inoculation with the test pathogen is reported. Treatment with the bacterium resulted in an increase in the chlorophyll content in the leaves in comparison with challenge-inoculated plants."
The fish pathogen Yersinia ruckeri produces holomycin and uses an RNA methyltransferase for self-resistance.,23572522,"Holomycin and its derivatives belong to a class of broad-spectrum antibacterial natural products containing a rare dithiolopyrrolone heterobicyclic scaffold. The antibacterial mechanism of dithiolopyrrolone compounds has been attributed to the inhibition of bacterial RNA polymerase activities, although the exact mode of action has not been established in vitro. Some dithiopyrrolone derivatives display potent anticancer activities. Recently the biosynthetic gene cluster of holomycin has been identified and characterized in Streptomyces clavuligerus. Here we report that the fish pathogen Yersinia ruckeri is a holomycin producer, as evidenced through genome mining, chemical isolation, and structural elucidation as well as genetic manipulation. We also identified a unique regulatory gene hom15 at one end of the gene cluster encoding a cold-shock-like protein that likely regulates the production of holomycin in low cultivation temperatures. Inactivation of hom15 resulted in a significant loss of holomycin production. Finally, gene disruption of an RNA methyltransferase gene hom12 resulted in the sensitivity of the mutant toward holomycin. A complementation experiment of hom12 restored the resistance against holomycin. Although the wild-type Escherichia coli BL21(DE3) Gold is susceptible to holomycin, the mutant harboring hom12 showed tolerance toward holomycin. High resolution liquid chromatography (LC)-ESI/MS analysis of digested RNA fragments demonstrated that the wild-type Y. ruckeri and E. coli harboring hom12 contain a methylated RNA fragment, whereas the mutated Y. ruckeri and the wild-type E. coli only contain normal non-methylated RNA fragments. Taken together, our results strongly suggest that this putative RNA methyltransferase Hom12 is the self-resistance protein that methylates the RNA of Y. ruckeri to reduce the cytotoxic effect of holomycin during holomycin production."
"Streptomyces spp. as efficient expression system for a D,D-peptidase/D,D-carboxypeptidase involved in glycopeptide antibiotic resistance.",23497129,"VanYn, encoded by the dbv7 gene (also known as vanYn) of the biosynthetic cluster devoted to A40926 production, is a novel protein involved in the mechanism of self-resistance in Nonomuraea sp. ATCC 39727. This filamentous actinomycete is an uncommon microorganism, difficult-to-handle but biotechnologically valuable since it produces the glycopeptide antibiotic A40926, which is the precursor of the second-generation dalbavancin in phase III of clinical development. In order to investigate VanYn role in glycopeptide resistance in the producer actinomycete an appropriate host-vector expression system is required."
Product-mediated regulation of pentalenolactone biosynthesis in Streptomyces species by the MarR/SlyA family activators PenR and PntR.,23316039,"The orthologous penR and pntR genes from the pentalenolactone biosynthetic gene clusters of Streptomyces exfoliatus UC5319 and S. arenae TÜ469, respectively, were predicted to encode MarR/SlyA family transcriptional regulators, responsible for regulation of the biosynthesis of the sesquiterpenoid antibiotic pentalenolactone. The intrinsic target DNA sequences and small molecule ligands of purified recombinant PenR and PntR were identified by electrophoretic mobility shift assays. PenR bound to DNA from both the penR-gapN and penM-penH intergenic regions, while PntR bound only the corresponding pntR-gapR intergenic region. The targets of PenR and PntR were shown to be limited to conserved 37-bp DNA segments. Pentalenolactone and two late-stage biosynthetic intermediates, pentalenolactones D and F, act as ligands of both PenR and PntR, resulting in release of these proteins from their target DNA. The production of pentalenolactones was significantly decreased in the penR deletion mutant S. exfoliatus ΔpenR ZD27 but could be restored by complementation with either penR or pntR. Reverse transcription-PCR established that transcription of pentalenolactone biosynthetic and resistance genes decreased, while that of the penR gene itself increased in the penR deletion mutant S. exfoliatus ZD27 compared to the wild-type strain. The PenR protein thus serves as a positive regulator of pentalenolactone biosynthesis and self-resistance while acting as an autorepressor of penR."
